number,value,datetime_start,datetime_complete,duration,params_ADX_THRESHOLD,params_ATR_MULTIPLIER,params_ATR_STOP_LOSS_MULT,params_BB_STD,params_ENTRY_PERIOD,params_ENTRY_TYPE,params_EXIT_TYPE,params_LEVERAGE,params_MA_PERIOD,params_MFI_THRESHOLD,params_MFI_WINDOW,params_RISK_PER_TRADE,params_RSI_OVERBOUGHT,params_RSI_OVERSOLD,params_RSI_WINDOW,params_SAR_STEP,params_STOCH_OVERBOUGHT,params_STOCH_OVERSOLD,params_STOCH_WINDOW,params_STOP_LOSS_PCT,params_STOP_LOSS_TYPE,params_SUPERTREND_MULT,params_SUPERTREND_PERIOD,params_TAKE_PROFIT_ATR_MULT,params_TIMEFRAME,params_TREND_FILTER_TYPE,params_USE_ADX,params_USE_MFI,params_USE_RSI,params_USE_STOCHASTIC,params_USE_TAKE_PROFIT,params_USE_VHF,params_USE_VOLUME_FILTER,params_VHF_THRESHOLD,params_VOLUME_MA_PERIOD,params_VOLUME_THRESHOLD_MULT,user_attrs_entry_type,user_attrs_leverage,user_attrs_mdd_ETH_USDT,user_attrs_mdd_avg,user_attrs_return_ETH_USDT,user_attrs_return_avg,user_attrs_timeframe,user_attrs_trades_ETH_USDT,user_attrs_trades_avg,user_attrs_trend_filter,user_attrs_win_rate_avg,user_attrs_winrate_ETH_USDT,state
0,-2300.0,2026-01-16 12:34:14.507823,2026-01-16 12:34:18.795246,0 days 00:00:04.287423,25,3.9000000000000004,2.4000000000000004,2.8,128,BOLLINGER,ATR,0.7000000000000001,110,27,19,0.0035,74,21,20,0.025,80,20,17,0.012,ATR,2.1,23,3.0,3m,SUPERTREND,True,True,False,False,True,True,True,0.6,10,3.0,BOLLINGER,0.7000000000000001,0.0,0.0,0.0,0.0,3m,0,0.0,SUPERTREND,0.0,0.0,COMPLETE
1,-2300.0,2026-01-16 12:34:14.519041,2026-01-16 12:34:19.628575,0 days 00:00:05.109534,27,5.300000000000001,3.0,3.0,44,KELTNER,ATR,1.5000000000000002,7,22,14,0.05,78,24,21,0.038,83,25,18,0.025,ATR,2.9000000000000004,37,9.5,1h,DEMA,False,False,True,False,True,False,True,0.35,10,4.0,KELTNER,1.5000000000000002,0.0,0.0,0.0,0.0,1h,0,0.0,DEMA,0.0,0.0,COMPLETE
2,-2300.0,2026-01-16 12:34:14.509826,2026-01-16 12:34:19.247473,0 days 00:00:04.737647,11,2.8,3.0,2.4,115,KELTNER,PARABOLIC_SAR,0.6,139,30,16,0.018000000000000002,69,20,15,0.039,81,21,10,0.015,FIXED,1.1,9,9.5,4h,ICHIMOKU,True,False,False,True,True,True,False,0.54,50,1.0,KELTNER,0.6,0.0,0.0,0.0,0.0,4h,0,0.0,ICHIMOKU,0.0,0.0,COMPLETE
3,-1377.9472967137363,2026-01-16 12:34:14.526111,2026-01-16 12:34:18.733499,0 days 00:00:04.207388,13,3.0,3.3000000000000003,2.0,128,DONCHIAN,ATR,0.8,88,22,11,0.0275,73,20,12,0.031,78,22,11,0.039,FIXED,4.7,26,8.5,1d,MACD,False,False,False,False,False,False,False,0.55,15,1.2,DONCHIAN,0.8,-67.07775108210917,-67.07775108210917,-65.29915476841838,-65.29915476841838,1d,39,39.0,MACD,12.82051282051282,12.82051282051282,COMPLETE
4,-1301.5036991665984,2026-01-16 12:34:14.531122,2026-01-16 12:34:19.779554,0 days 00:00:05.248432,21,2.1,1.5,2.2,50,BOLLINGER,PARABOLIC_SAR,1.6,192,28,18,0.041,73,27,12,0.027000000000000003,83,15,17,0.036000000000000004,ATR,2.3,19,4.0,1h,DEMA,True,True,False,False,True,False,False,0.42,40,2.4000000000000004,BOLLINGER,1.6,-50.40224508757808,-50.40224508757808,-36.72302884088579,-36.72302884088579,1h,62,62.0,DEMA,29.03225806451613,29.03225806451613,COMPLETE
5,-1988.8808792844006,2026-01-16 12:34:14.523108,2026-01-16 12:34:18.706163,0 days 00:00:04.183055,22,4.5,2.3,2.7,43,DONCHIAN,ATR,0.1,43,31,17,0.0195,77,35,21,0.05,82,22,21,0.032,ATR,3.6,40,7.0,2h,HMA,False,True,True,False,True,False,True,0.32,55,2.0,DONCHIAN,0.1,-0.5213383158221201,-0.5213383158221201,1.1636021344146341,1.1636021344146341,2h,10,10.0,HMA,40.0,40.0,COMPLETE
6,-2905.1528510643584,2026-01-16 12:34:18.725329,2026-01-16 12:34:19.415907,0 days 00:00:00.690578,21,2.7,2.7,2.7,62,BOLLINGER,ATR,2.6,75,27,19,0.036500000000000005,77,33,14,0.043000000000000003,78,15,19,0.037,ATR,1.5,26,8.5,15m,DEMA,False,False,False,False,True,False,True,0.39,15,1.6,BOLLINGER,2.6,-35.46979688574488,-35.46979688574488,54.651532752475184,54.651532752475184,15m,23,23.0,DEMA,52.17391304347826,52.17391304347826,COMPLETE
7,-3387.1299045023297,2026-01-16 12:34:18.759791,2026-01-16 12:34:19.071824,0 days 00:00:00.312033,11,3.2,1.4,1.6,136,BOLLINGER,PARABOLIC_SAR,1.7000000000000002,111,35,15,0.032,79,34,13,0.038,75,15,18,0.044000000000000004,FIXED,3.6,25,4.5,4h,EMA,True,True,True,False,True,True,True,0.44999999999999996,10,1.0,BOLLINGER,1.7000000000000002,-82.99615407557351,-82.99615407557351,-81.5665250055581,-81.5665250055581,4h,29,29.0,EMA,13.793103448275861,13.793103448275861,COMPLETE
8,-1536.5221786237025,2026-01-16 12:34:18.809531,2026-01-16 12:34:21.379547,0 days 00:00:02.570016,27,2.0,2.4000000000000004,1.6,141,BOLLINGER,PARABOLIC_SAR,1.9000000000000001,89,31,15,0.047,73,28,16,0.044000000000000004,77,11,14,0.026000000000000002,ATR,3.7,8,9.0,3m,SMA,False,True,False,True,True,False,True,0.56,25,1.2,BOLLINGER,1.9000000000000001,-65.52399970235085,-65.52399970235085,-30.209121518179703,-30.209121518179703,3m,44,44.0,SMA,36.36363636363637,36.36363636363637,COMPLETE
9,-2309.219406135929,2026-01-16 12:34:19.112378,2026-01-16 12:34:19.470404,0 days 00:00:00.358026,23,3.3,1.9,1.6,25,BOLLINGER,ATR,1.1,97,20,11,0.0035,70,35,12,0.015,85,11,18,0.035,FIXED,1.2,48,3.5,1h,MACD,True,False,True,False,False,True,False,0.41,55,2.8,BOLLINGER,1.1,-5.3344121953638135,-5.3344121953638135,-1.7270612370047487,-1.7270612370047487,1h,11,11.0,MACD,27.27272727272727,27.27272727272727,COMPLETE
10,-2300.0,2026-01-16 12:34:19.269333,2026-01-16 12:34:19.589947,0 days 00:00:00.320614,21,5.7,1.7000000000000002,2.5,39,DONCHIAN,ATR,0.8,90,24,20,0.0335,65,32,15,0.031,75,16,10,0.047,FIXED,4.5,34,2.0,4h,SMA,False,True,False,True,False,True,True,0.56,20,1.4,DONCHIAN,0.8,0.0,0.0,0.0,0.0,4h,0,0.0,SMA,0.0,0.0,COMPLETE
11,-2300.0,2026-01-16 12:34:19.437589,2026-01-16 12:34:19.783572,0 days 00:00:00.345983,13,4.9,3.6,1.6,78,DONCHIAN,ATR,2.4000000000000004,135,19,21,0.048,79,33,21,0.038,79,20,16,0.01,FIXED,1.1,30,4.0,4h,SUPERTREND,True,False,False,True,False,True,True,0.32,50,3.0,DONCHIAN,2.4000000000000004,0.0,0.0,0.0,0.0,4h,0,0.0,SUPERTREND,0.0,0.0,COMPLETE
12,-2311.524011671932,2026-01-16 12:34:19.492117,2026-01-16 12:34:21.952935,0 days 00:00:02.460818,25,1.8,1.4,2.8,144,CCI,PARABOLIC_SAR,1.1,22,25,19,0.012,79,24,17,0.01,83,23,16,0.02,ATR,4.7,23,5.5,15m,DEMA,True,False,True,False,False,True,False,0.59,10,3.4000000000000004,CCI,1.1,-1.348209910289594,-1.348209910289594,-1.3757983357456747,-1.3757983357456747,15m,1,1.0,DEMA,0.0,0.0,COMPLETE
13,-2343.5199927951135,2026-01-16 12:34:19.612861,2026-01-16 12:34:20.610196,0 days 00:00:00.997335,27,3.6,1.4,1.5,31,DONCHIAN,ATR,0.9,86,17,13,0.02,77,34,13,0.017,89,11,21,0.05,ATR,2.0,41,7.0,30m,SMA,True,False,True,False,True,True,False,0.38,30,1.6,DONCHIAN,0.9,-18.85317757665139,-18.85317757665139,-16.763237513772562,-16.763237513772562,30m,19,19.0,SMA,10.526315789473683,10.526315789473683,COMPLETE
14,-1270.2900316187988,2026-01-16 12:34:19.647144,2026-01-16 12:34:22.081721,0 days 00:00:02.434577,15,5.9,1.8,1.8,10,CCI,PARABOLIC_SAR,1.1,116,33,17,0.025500000000000002,71,29,20,0.036000000000000004,82,21,20,0.028000000000000004,FIXED,4.9,28,8.0,15m,ICHIMOKU,False,False,False,False,True,True,False,0.32999999999999996,45,3.8000000000000003,CCI,1.1,-63.77646162952492,-63.77646162952492,-16.53638863641259,-16.53638863641259,15m,79,79.0,ICHIMOKU,10.126582278481013,10.126582278481013,COMPLETE
15,-1347.9976205558269,2026-01-16 12:34:19.804984,2026-01-16 12:34:20.830881,0 days 00:00:01.025897,16,1.5,1.0,2.0,105,CCI,PARABOLIC_SAR,1.9000000000000001,187,15,10,0.0405,73,28,10,0.024,90,11,14,0.025,ATR,5.0,15,6.0,1d,MACD,False,True,False,False,False,False,False,0.5,35,2.2,CCI,1.9000000000000001,-97.5784608339908,-97.5784608339908,-99.24495467707139,-99.24495467707139,1d,61,61.0,MACD,8.19672131147541,8.19672131147541,COMPLETE
16,-1327.4542611701263,2026-01-16 12:34:19.811544,2026-01-16 12:34:22.068105,0 days 00:00:02.256561,16,2.0,3.7,2.0,105,CCI,PARABOLIC_SAR,1.8000000000000003,197,15,10,0.0405,74,28,10,0.024,90,11,13,0.025,ATR,4.800000000000001,16,6.5,1d,MACD,False,True,False,False,False,False,False,0.5,35,2.2,CCI,1.8000000000000003,-63.723404448953616,-63.723404448953616,-63.09640958317523,-63.09640958317523,1d,50,50.0,MACD,20.0,20.0,COMPLETE
17,-1298.59089085707,2026-01-16 12:34:20.625344,2026-01-16 12:34:24.313626,0 days 00:00:03.688282,16,1.5,3.7,2.0,101,CCI,PARABOLIC_SAR,1.9000000000000001,193,24,11,0.0395,73,27,10,0.026000000000000002,86,25,13,0.04,FIXED,5.0,15,5.5,1d,MACD,False,True,False,False,False,False,False,0.49,35,2.2,CCI,1.9000000000000001,-97.86801082894605,-97.86801082894605,-99.98470223944675,-99.98470223944675,1d,83,83.0,MACD,7.228915662650602,7.228915662650602,COMPLETE
18,-1000.8222294993529,2026-01-16 12:34:20.869309,2026-01-16 12:34:24.174819,0 days 00:00:03.305510,17,1.6,1.1,2.0,99,CCI,PARABOLIC_SAR,2.0,199,15,10,0.0425,69,29,10,0.023,90,13,13,0.025,ATR,2.9000000000000004,13,5.5,5m,TEMA,False,True,False,False,False,False,False,0.48,40,2.2,CCI,2.0,-56.7093443155567,-56.7093443155567,-76.94884548782515,-76.94884548782515,5m,92,92.0,TEMA,35.869565217391305,35.869565217391305,COMPLETE
19,-1298.4979812961283,2026-01-16 12:34:21.513366,2026-01-16 12:34:22.673812,0 days 00:00:01.160446,18,1.5,1.0,2.0,101,CCI,PARABOLIC_SAR,2.1,165,15,10,0.0395,70,29,10,0.023,90,13,14,0.020999999999999998,ATR,2.7,18,5.5,1d,TEMA,False,True,False,False,False,False,False,0.48,40,2.2,CCI,2.1,-97.93274198227422,-97.93274198227422,-99.92145373381759,-99.92145373381759,1d,90,90.0,TEMA,14.444444444444443,14.444444444444443,COMPLETE
20,-1014.2534023272483,2026-01-16 12:34:21.969488,2026-01-16 12:34:23.172340,0 days 00:00:01.202852,17,1.5,1.0,2.0,96,CCI,PARABOLIC_SAR,2.1,196,16,17,0.0405,70,29,10,0.025,90,13,13,0.027000000000000003,ATR,2.5,15,5.5,5m,MACD,False,True,False,False,False,False,False,0.48,40,2.4000000000000004,CCI,2.1,-67.09941763956101,-67.09941763956101,-53.8367061631487,-53.8367061631487,5m,79,79.0,MACD,39.24050632911392,39.24050632911392,COMPLETE
21,-1106.1415788264203,2026-01-16 12:34:22.107967,2026-01-16 12:34:28.344796,0 days 00:00:06.236829,17,6.0,2.0,2.2,10,CCI,PARABOLIC_SAR,3.0,166,35,17,0.026500000000000003,70,30,18,0.028999999999999998,86,18,20,0.042,FIXED,2.8,18,5.0,5m,TEMA,True,True,False,False,True,False,False,0.44,45,4.0,CCI,3.0,-72.5221575546646,-72.5221575546646,81.97407483412013,81.97407483412013,5m,109,109.0,TEMA,20.18348623853211,20.18348623853211,COMPLETE
22,-1265.0554505025439,2026-01-16 12:34:22.139720,2026-01-16 12:34:23.646888,0 days 00:00:01.507168,17,4.2,2.0,2.2,65,CCI,PARABOLIC_SAR,3.0,170,35,17,0.028,70,31,18,0.028000000000000004,86,18,20,0.041,FIXED,2.6,19,5.0,15m,TEMA,True,True,False,False,True,False,False,0.44,45,4.0,CCI,3.0,-83.32788994608244,-83.32788994608244,-61.023470013141655,-61.023470013141655,15m,94,94.0,TEMA,18.085106382978726,18.085106382978726,COMPLETE
23,-2300.0,2026-01-16 12:34:22.728929,2026-01-16 12:34:27.209930,0 days 00:00:04.481001,18,4.5,1.0,1.8,81,CCI,PARABOLIC_SAR,2.3000000000000003,141,34,13,0.028,70,30,18,0.019000000000000003,87,18,12,0.019000000000000003,FIXED,3.1,32,7.5,5m,TEMA,False,False,False,True,False,False,False,0.48,45,4.0,CCI,2.3000000000000003,0.0,0.0,0.0,0.0,5m,0,0.0,TEMA,0.0,0.0,COMPLETE
24,-3387.6907276245875,2026-01-16 12:34:23.344628,2026-01-16 12:34:26.473931,0 days 00:00:03.129303,17,6.0,2.0,1.8,10,CCI,PARABOLIC_SAR,2.3000000000000003,161,34,17,0.0275,67,31,18,0.034,86,18,12,0.031,FIXED,4.1,11,7.5,5m,ICHIMOKU,False,False,False,True,False,True,False,0.44999999999999996,45,4.0,CCI,2.3000000000000003,-76.7360379154653,-76.7360379154653,-78.87805544976175,-78.87805544976175,5m,20,20.0,ICHIMOKU,0.0,0.0,COMPLETE
25,-1872.778841261037,2026-01-16 12:34:23.683270,2026-01-16 12:34:26.475931,0 days 00:00:02.792661,18,4.2,2.1,2.2,83,CCI,PARABOLIC_SAR,3.0,167,34,13,0.0305,67,30,18,0.018000000000000002,87,18,13,0.042,FIXED,3.2,12,2.5,5m,TEMA,True,True,False,True,False,False,False,0.44999999999999996,45,3.4000000000000004,CCI,3.0,-89.06799505322641,-89.06799505322641,-70.55423721819905,-70.55423721819905,5m,49,49.0,TEMA,20.408163265306122,20.408163265306122,COMPLETE
26,-2300.0,2026-01-16 12:34:24.196213,2026-01-16 12:34:30.448619,0 days 00:00:06.252406,18,4.2,1.1,2.3,82,CCI,PARABOLIC_SAR,3.0,167,18,13,0.0315,67,31,18,0.019000000000000003,86,18,12,0.031,FIXED,3.2,11,5.0,5m,TEMA,False,True,False,False,False,False,False,0.45999999999999996,45,2.6,CCI,3.0,0.0,0.0,0.0,0.0,5m,0,0.0,TEMA,0.0,0.0,COMPLETE
27,-2989.916265817007,2026-01-16 12:34:24.331337,2026-01-16 12:34:28.316040,0 days 00:00:03.984703,19,4.300000000000001,2.1,2.2,83,CCI,PARABOLIC_SAR,2.9000000000000004,169,18,17,0.0305,67,31,18,0.019000000000000003,87,18,12,0.031,ATR,2.6,5,5.0,5m,TEMA,False,True,False,False,False,False,False,0.44999999999999996,45,2.6,CCI,2.9000000000000004,-58.358653100532464,-58.358653100532464,7.821952543463255,7.821952543463255,5m,29,29.0,TEMA,44.827586206896555,44.827586206896555,COMPLETE
28,-1302.9512523110207,2026-01-16 12:34:26.764541,2026-01-16 12:34:30.523809,0 days 00:00:03.759268,19,2.5,1.1,2.3,72,CCI,PARABOLIC_SAR,3.0,176,18,16,0.0455,68,26,11,0.02,88,17,15,0.022,ATR,2.5,6,5.0,5m,TEMA,False,True,False,False,False,False,False,0.52,60,2.6,CCI,3.0,-68.0588929242184,-68.0588929242184,-44.70801595255984,-44.70801595255984,5m,54,54.0,TEMA,31.48148148148148,31.48148148148148,COMPLETE
29,-1268.0016701457716,2026-01-16 12:34:26.936782,2026-01-16 12:34:29.873954,0 days 00:00:02.937172,19,2.4,1.1,1.8,82,CCI,PARABOLIC_SAR,2.8000000000000003,179,18,16,0.0455,68,25,11,0.02,88,13,15,0.02,ATR,2.6,20,5.0,5m,TEMA,False,True,False,False,False,False,False,0.52,60,2.6,CCI,2.8000000000000003,-64.86305765704944,-64.86305765704944,-14.8078309276222,-14.8078309276222,5m,53,53.0,TEMA,32.075471698113205,32.075471698113205,COMPLETE
30,-974.2959975040385,2026-01-16 12:34:27.229903,2026-01-16 12:34:31.048943,0 days 00:00:03.819040,14,2.3,1.3,2.3,67,CCI,PARABOLIC_SAR,3.0,175,18,16,0.0455,68,25,11,0.020999999999999998,88,13,15,0.03,ATR,2.6,20,5.0,5m,TEMA,False,True,False,False,False,False,False,0.52,60,2.6,CCI,3.0,-56.30429084739572,-56.30429084739572,-18.467566976557347,-18.467566976557347,5m,64,64.0,TEMA,43.75,43.75,COMPLETE
